Emoji,weight
🤢,7
😾,4
😤,8
😑,6
😈,8
😏,6
💔,5
👉👈,3
🍆,10
🍑,10
😒,6
🤮,8
🌚,8
😜,6
😝,6
👎,5
😡,8
💩,10
🥴,8
🤧,8
🥵,9
🐵,3
😁,5
😂,5
🤡,7
👀,5
🖤,5
🥰,3
🤦🏻‍♂️,4
🐄,6
🐂,8
